3,-84,1,1
76,-67,1,1
-184,81,1,1
-141,-46,1,1
-74,131,1,1
-90,-195,1,1
-9,-320,1,1
-215,-253,1,1
69,-262,1,1
-166,-146,1,1
-222,-3,1,1
133,-221,1,1
-47,-251,1,1
-164,-76,1,1
-166,0,1,1
-149,-316,1,1
30,-298,1,1
-125,100,1,1
116,-231,1,1
124,-311,1,1
-193,-306,1,1
-84,-358,1,1
8,-335,1,1
-198,-119,1,1
-213,-325,1,1
-226,78,1,1
-269,-103,1,1
-260,-278,1,1
-253,44,1,1
-254,-57,1,1
-251,-345,1,1
39,-184,1,1
-245,-197,1,1
-25,-293,1,1
-135,-225,1,1
-38,-177,1,1
-120,-161,1,1
-142,24,1,1
-258,-144,1,1
-1,-230,1,1
-119,-303,1,1
-88,-264,1,1
-66,-306,1,1
-176,119,1,1
-201,-47,1,1
-258,100,1,1
-213,-208,1,1
58,-331,1,1
-182,-355,1,1
89,-325,1,1
-171,-207,1,1
-118,-100,1,1
-134,78,1,1
-210,35,1,1
-101,9,1,1
-251,153,1,1
-143,198,1,1
-212,214,1,1
-259,200,1,1
-178,188,1,1
-161,253,1,1
-105,169,1,1
36,-110,1,1
108,-162,1,1
128,-116,1,1
144,-86,1,1
-35,-66,1,1
